FIPS,State,County,Unreliable,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Average Daily PM2.5,% Drive Alone to Work,% Long Commute - Drives Alone,Unnamed: 0,NatWalkInd,D4A,TotEmp,TotPop,D2A_JPHH,D5AR,CBSA_POP,CBSA_EMP,Pct_AO0,D4C,Pct_AO1,Pct_AO2p,D3APO,D3AAO,D4D
6001,California,Alameda County,,11.7,2.5920170322,4.5210017681,7.1549347266,24.3,8.8,17.9,99.441258761,25.342465753,9.4,56.4222777,47.4,0,14.138809296365809,377.770332326284,753.4403056351481,1569.9140401146133,1.8246940588233047,140333.74976122254,4673221.0,2400290.0,0.0937138096208214,15.2490918065153,0.3138231654508118,0.5857772560764087,20.75490654299809,1.6358730459350526,159.0368482149487
6005,California,Amador County,,13.4,3.2439417112,4.9338321352,5.9894585529,30.0,8.6,18.6,61.624746751,35.294117647,6.4,77.04652731,45.1,4,6.535714285464286,785.36,424.07142857142856,1351.0357142857142,1.0433972969642855,1294.428571428571,0.0,0.0,0.0491872171785714,1.1336,0.2585447078214286,0.6922680749642858,1.8358582397142855,0.2692999381071428,0.2039973481199999
6007,California,Butte County,,15.4,3.5434884657,5.2255282082,6.0674569229,30.5,7.3,20.7,85.437457473,28.494623656,7.1,73.817482239,24.4,34,7.058974358871795,742.0228571428571,408.34358974358975,1164.4871794871794,1.1274895185025642,9305.466666666667,227075.0,79627.0,0.0751102075435897,,0.3221459455076923,0.6027438469794871,10.940318780061538,0.5196215337435898,
6009,California,Calaveras County,,14.1,3.4066702871,5.0166993061,6.3653483992,29.7,7.9,19.4,75.839000265,34.920634921,5.5,74.113626655,58.6,35,6.383333333433333,855.635,296.1333333333333,1507.8333333333333,0.4929264454,871.9666666666667,0.0,0.0,0.031448665,1.393181818181818,0.2420980297,0.7264533052666666,2.96066477,0.2339607431,0.1900507536818181
6011,California,Colusa County,,19.2,3.7589524411,4.9896128382,6.0,34.4,6.9,26.4,76.784651312,15.555555556,7.0,80.611587983,31.5,61,6.65000000075,,403.85,1073.2,1.3181768608,1601.75,0.0,0.0,0.0598687785,,0.2388785039,0.7012527175,11.3212993663,0.65354515385,
6013,California,Contra Costa County,,12.1,2.7212996083,4.1884893398,6.9541829628,28.1,8.8,18.8,98.241313564,29.072681704,7.8,63.496863799,51.8,65,11.492150706521194,448.4866580310881,589.0926216640503,1779.0376766091051,0.9370603466310832,76009.86813186813,4673221.0,2400290.0,0.0547370589607535,9.0545197740113,0.2708386754976452,0.6728544068320251,16.70624984588069,1.3302565949612872,60.33637477129944
6015,California,Del Norte County,,18.3,3.8965556644,5.2535568224,6.1515748031,32.9,6.4,24.1,79.119057059,30.769230769,6.1,75.500615281,16.1,79,8.69166666685,386.54,407.6,1371.2,0.6374216724,1834.95,27424.0,8152.0,0.08102018755,1.874375,0.3056638329,0.56331597945,3.8838139433,0.37052267455,1.6146163621874998
6017,California,El Dorado County,,11.6,2.9254554414,4.709942781,6.7028985507,28.2,8.4,16.9,87.699871852,30.4,7.0,72.704198005,38.3,91,8.37066666692,388.31217391304347,442.064,1493.288,0.962746368824,10272.512,2291738.0,951760.0,0.03988690712,2.462686567164179,0.238900467864,0.713212625032,8.785141820967999,0.714901263848,4.8169088979701495
6019,California,Fresno County,,20.2,3.8948534571,4.8236114042,7.5187678222,34.6,7.3,27.6,84.346069118,25.961538462,11.7,77.515674914,25.6,107,11.11884550066893,505.2684328358209,628.251273344652,1660.6621392190152,1.7573272291578947,48780.94397283532,978130.0,370040.0,0.0901856015636672,5.323738095238094,0.3313948732597623,0.5767217322971138,12.22795586087606,1.7993235691052631,24.45017947710476
6021,California,Glenn County,,18.7,3.856399665,5.2969740436,6.071964018,33.6,7.4,25.7,78.853269703,21.951219512,7.8,76.543522267,29.8,116,6.398550724826087,830.15,383.82608695652175,1212.9130434782608,0.988575563,2488.608695652174,0.0,0.0,0.0570068256956521,0.33,0.2828345888695652,0.6601585854347826,5.243498131826087,0.5056733423043479,0.147871767
